customer_id,first_name,last_name,birth_date,street_name,house_number,zip_code,city,state
iubi0001,Greta,Müller,1993-05-27,Andrei-Weihmann-Ring,190,32181,Backnang,Baden-Württemberg
iubi0002,Sophie,Hoffmann,1956-04-06,Holger-Pärtzelt-Weg,58,83863,Rudolstadt,Niedersachsen
iubi0003,Lukas,Fischer,2004-12-20,Katy-Freudenberger-Allee,174,54235,Bremervörde,Sachsen
iubi0004,Neba,Schneider,1956-06-20,Kaulstr.,152,07816,Querfurt,Nordrhein-Westfalen
iubi0005,Nkechi,Schmidt,1992-08-31,Rustplatz,8,03413,Konstanz,Niedersachsen
iubi0006,Johann,Becker,1980-09-28,Fröhlichring,60,34192,Eberswalde,Schleswig-Holstein
iubi0007,Ewane,Abang,1975-09-17,Schwitalweg,7,50305,Großenhain,Berlin
iubi0008,Neba,Becker,1964-03-31,Hahnweg,184,67242,Wolfenbüttel,Niedersachsen
iubi0009,Neba,Ngongang,2000-09-21,Säuberlichstraße,57,32871,Calau,Bremen
iubi0010,Tabe,Oben,1992-08-02,Ljiljana-Stiffel-Straße,72,66978,Rastatt,Baden-Württemberg
iubi0011,Hans,Wagner,1996-03-07,Hanny-Reising-Ring,179,14627,Werdau,Niedersachsen
iubi0012,Nkechi,Nfor,1983-12-15,Ana-Döring-Allee,72,89325,Plauen,Baden-Württemberg
iubi0013,Lukas,Becker,1990-08-24,Niemeiergasse,196,54303,Borna,Thüringen
iubi0014,Ngong,Fischer,2005-06-02,Zofia-Wesack-Weg,24,27824,Freudenstadt,Hessen
iubi0015,Ekane,Fischer,1998-05-28,Kuhlweg,92,78713,Belzig,Rheinland-Pfalz
iubi0016,Mbella,Abang,1951-04-27,Dajana-Hartmann-Gasse,68,03105,Osterburg,Mecklenburg-Vorpommern
iubi0017,Karl,Tchoumi,1968-11-02,Hamannstr.,138,99737,Erkelenz,Brandenburg
iubi0018,Greta,Ewane,1956-06-26,Klappstraße,21,70106,Bützow,Mecklenburg-Vorpommern
iubi0019,Neba,Wolf,1962-12-04,Apollonia-Meister-Platz,161,24731,Quedlinburg,Brandenburg
iubi0020,Ngozi,Mbappe,1953-05-01,Wenke-Davids-Platz,148,67736,Eckernförde,Sachsen
iubi0021,Friedrich,Schneider,1950-01-13,Hettnerallee,12,46872,Hamburg,Hessen
iubi0022,Heinrich,Wolf,1953-11-13,Karen-Johann-Gasse,21,97882,Olpe,Berlin
iubi0023,Heinrich,Fischer,1962-07-14,Diane-Börner-Allee,98,61939,Schweinfurt,Berlin
iubi0024,Sophie,Tchoumi,1978-06-01,Heßplatz,163,34624,Herford,Berlin
iubi0025,Mbella,Wagner,1950-07-10,Scholtzstr.,95,18384,Iserlohn,Berlin
iubi0026,Mbella,Becker,1966-07-06,Hölzenbecherplatz,172,84980,Sternberg,Brandenburg
iubi0027,Sophie,Schneider,1959-01-10,Drubgasse,156,44935,Torgau,Niedersachsen
iubi0028,Anna,Nkem,1984-04-13,Hermannallee,187,16400,Darmstadt,Niedersachsen
iubi0029,Heinrich,Wagner,1960-11-19,Rohlederweg,119,80112,Kemnath,Bremen
iubi0030,Ekane,Klein,1979-02-19,Attila-Jäntsch-Ring,164,53315,Schweinfurt,Bremen
