customer_id,first_name,last_name,birth_date,street_name,house_number,zip_code,city,state
iubi0001,Ekane,Müller,1975-07-22,Heinz-Jäkel-Allee,55,04049,Bruchsal,Brandenburg
iubi0002,Clara,Fokou,1989-02-03,Angelique-Scholz-Ring,11,85878,Sigmaringen,Brandenburg
iubi0003,Sophie,Schmidt,1990-10-08,Liebeltring,79,29711,Regensburg,Berlin
iubi0004,Atangana,Ngongang,1984-12-10,Jane-Benthin-Weg,25,19368,Marktheidenfeld,Thüringen
iubi0005,Atangana,Fischer,1991-07-03,Margrafgasse,148,42066,Arnstadt,Thüringen
iubi0006,Friedrich,Essomba,1964-11-05,Schönlandstr.,160,12113,Sigmaringen,Bremen
iubi0007,Ngong,Wagner,1964-11-02,Regine-Werner-Ring,141,29988,Kemnath,Nordrhein-Westfalen
iubi0008,Mbella,Essomba,1974-08-02,Oestrovskystraße,121,67658,Wunsiedel,Niedersachsen
iubi0009,Ewane,Fischer,1978-04-19,Baumweg,163,90294,Witzenhausen,Niedersachsen
iubi0010,Greta,Abang,1990-02-12,Burkhardt-Pohl-Platz,150,42951,Ludwigslust,Bremen
iubi0011,Mbella,Ngongang,1986-11-28,Eberthring,91,91938,Bersenbrück,Berlin
iubi0012,Friedrich,Wagner,1991-10-14,Mathias-Trüb-Platz,159,41114,Moers,Nordrhein-Westfalen
iubi0013,Tabe,Schneider,2003-12-06,Hölzenbecherring,19,02460,Ahaus,Nordrhein-Westfalen
iubi0014,Ekane,Oben,1954-08-01,Mirko-Müller-Gasse,18,77580,Melsungen,Rheinland-Pfalz
iubi0015,Ewane,Weber,1970-10-15,Osman-Lindau-Gasse,187,01296,Darmstadt,Bremen
iubi0016,Karl,Nkem,1995-07-10,Inge-Schuchhardt-Ring,45,80151,Regen,Bayern
iubi0017,Johann,Oben,1957-09-30,Bohlanderallee,57,13172,Schwäbisch Gmünd,Niedersachsen
iubi0018,Nkechi,Nkem,2000-08-15,Reginald-Textor-Ring,115,01488,Eisenach,Berlin
iubi0019,Nkechi,Fokou,1984-02-08,Dippelweg,157,19362,Nördlingen,Hessen
iubi0020,Ewane,Fokou,1969-01-17,Loosweg,114,17624,Ilmenau,Hamburg
iubi0021,Karl,Fokou,1960-11-27,Wellergasse,73,73354,Schmölln,Schleswig-Holstein
iubi0022,Anna,Schmidt,1974-05-20,Nora-Haering-Ring,105,08011,Griesbach Rottal,Bremen
iubi0023,Ekane,Tchoumi,1994-06-25,Traude-Klemt-Straße,5,45016,Monschau,Mecklenburg-Vorpommern
iubi0024,Fonyuy,Hoffmann,1952-08-17,Krausegasse,110,01531,Zossen,Baden-Württemberg
iubi0025,Ngozi,Oben,1956-11-13,Zbigniew-Beier-Weg,90,18418,Neuss,Sachsen-Anhalt
iubi0026,Johann,Weber,1985-03-03,Katerina-Scheibe-Weg,32,89040,Lüneburg,Bayern
iubi0027,Johann,Hoffmann,1984-04-28,Ullmannallee,176,17540,Griesbach Rottal,Schleswig-Holstein
iubi0028,Anna,Weber,1986-04-20,Kaulallee,57,98081,Eichstätt,Mecklenburg-Vorpommern
iubi0029,Lukas,Mbappe,1990-07-15,Wirthweg,54,24259,Görlitz,Sachsen-Anhalt
iubi0030,Anna,Oben,1992-12-21,Drubinweg,159,88935,Delitzsch,Sachsen-Anhalt
